nct_id,category_age
NCT00001159,[0-17]
NCT00001159,[18-65]
NCT00001159,[65 and more]
NCT00001277,[0-17]
NCT00001277,[18-65]
NCT00001277,[65 and more]
NCT00004048,[0-17]
NCT00004048,[18-65]
NCT00004048,[65 and more]
NCT00004074,[18-65]
NCT00004074,[65 and more]
NCT00004089,[0-17]
NCT00004089,[18-65]
NCT00004089,[65 and more]
NCT00004340,[0-17]
NCT00004340,[18-65]
NCT00004351,[0-17]
NCT00004351,[18-65]
NCT00004351,[65 and more]
NCT00004660,[18-65]
NCT00004660,[65 and more]
NCT00005102,[0-17]
NCT00005102,[18-65]
NCT00005102,[65 and more]
NCT00037193,[18-65]
NCT00037193,[65 and more]
NCT00037635,[18-65]
NCT00037635,[65 and more]
NCT00042432,[18-65]
NCT00042432,[65 and more]
NCT00042653,[18-65]
NCT00042653,[65 and more]
NCT00053547,[0-17]
NCT00053547,[18-65]
NCT00060242,[18-65]
NCT00060242,[65 and more]
NCT00061906,[18-65]
NCT00061906,[65 and more]
NCT00068497,[0-17]
NCT00068497,[18-65]
NCT00068497,[65 and more]
NCT00073710,[18-65]
NCT00073710,[65 and more]
NCT00077103,[18-65]
NCT00077103,[65 and more]
NCT00085293,[18-65]
NCT00085293,[65 and more]
NCT00094484,[18-65]
NCT00094484,[65 and more]
NCT00095693,[18-65]
NCT00095693,[65 and more]
NCT00095836,[18-65]
NCT00095836,[65 and more]
NCT00098813,[18-65]
NCT00098813,[65 and more]
NCT00098852,[18-65]
NCT00098852,[65 and more]
NCT00100828,[18-65]
NCT00100828,[65 and more]
NCT00103155,[18-65]
NCT00103155,[65 and more]
NCT00104871,[18-65]
NCT00104871,[65 and more]
NCT00105274,[18-65]
NCT00108394,[18-65]
NCT00108394,[65 and more]
NCT00110929,[18-65]
NCT00110929,[65 and more]
NCT00117052,[18-65]
NCT00117052,[65 and more]
NCT00118248,[18-65]
NCT00118248,[65 and more]
NCT00123461,[18-65]
NCT00123461,[65 and more]
NCT00132431,[18-65]
NCT00132431,[65 and more]
NCT00134043,[18-65]
NCT00134043,[65 and more]
NCT00135304,[18-65]
NCT00135304,[65 and more]
NCT00145366,[18-65]
NCT00145366,[65 and more]
NCT00147433,[0-17]
NCT00147433,[18-65]
NCT00147433,[65 and more]
NCT00150111,[18-65]
NCT00150111,[65 and more]
NCT00150124,[18-65]
NCT00150124,[65 and more]
NCT00150137,[18-65]
NCT00150137,[65 and more]
NCT00150150,[18-65]
NCT00150150,[65 and more]
NCT00161109,[0-17]
NCT00161109,[18-65]
NCT00174057,[18-65]
NCT00174057,[65 and more]
NCT00175149,[18-65]
NCT00175149,[65 and more]
NCT00189501,[18-65]
NCT00189501,[65 and more]
NCT00209235,[0-17]
NCT00209235,[18-65]
NCT00209235,[65 and more]
NCT00211939,[18-65]
NCT00211939,[65 and more]
NCT00213720,[18-65]
NCT00213720,[65 and more]
NCT00257920,[18-65]
NCT00257920,[65 and more]
NCT00261950,[18-65]
NCT00261950,[65 and more]
NCT00278005,[0-17]
NCT00285467,[18-65]
NCT00285467,[65 and more]
NCT00287144,[0-17]
NCT00287144,[18-65]
NCT00287144,[65 and more]
NCT00287287,[18-65]
NCT00287287,[65 and more]
NCT00288522,[18-65]
NCT00288522,[65 and more]
NCT00288873,[18-65]
NCT00288873,[65 and more]
NCT00297297,[18-65]
NCT00297297,[65 and more]
NCT00307840,[18-65]
NCT00307840,[65 and more]
NCT00316823,[18-65]
NCT00316823,[65 and more]
NCT00322322,[18-65]
NCT00322322,[65 and more]
NCT00325104,[18-65]
NCT00325104,[65 and more]
NCT00335062,[0-17]
NCT00335062,[18-65]
NCT00342641,[0-17]
NCT00342641,[18-65]
NCT00342641,[65 and more]
NCT00345839,[18-65]
NCT00345839,[65 and more]
NCT00348413,[18-65]
NCT00352170,[18-65]
NCT00352170,[65 and more]
NCT00360074,[18-65]
NCT00360074,[65 and more]
NCT00364234,[18-65]
NCT00364234,[65 and more]
NCT00374712,[18-65]
NCT00374712,[65 and more]
NCT00381641,[18-65]
NCT00381641,[65 and more]
NCT00385983,[18-65]
NCT00385983,[65 and more]
NCT00388297,[0-17]
NCT00388297,[18-65]
NCT00388297,[65 and more]
NCT00390325,[18-65]
NCT00390325,[65 and more]
NCT00397475,[18-65]
NCT00397475,[65 and more]
NCT00400465,[0-17]
NCT00400465,[18-65]
NCT00400465,[65 and more]
NCT00415233,[0-17]
NCT00415233,[18-65]
NCT00415233,[65 and more]
NCT00415584,[18-65]
NCT00415584,[65 and more]
NCT00416949,[18-65]
NCT00416949,[65 and more]
NCT00418600,[18-65]
NCT00418600,[65 and more]
NCT00424151,[18-65]
NCT00424151,[65 and more]
NCT00430547,[18-65]
NCT00430547,[65 and more]
NCT00431496,[18-65]
NCT00431496,[65 and more]
NCT00432146,[0-17]
NCT00432146,[18-65]
NCT00432939,[18-65]
NCT00432939,[65 and more]
NCT00437931,[18-65]
NCT00437931,[65 and more]
NCT00439127,[0-17]
NCT00439127,[18-65]
NCT00439127,[65 and more]
NCT00446329,[18-65]
NCT00446329,[65 and more]
NCT00454350,[18-65]
NCT00454350,[65 and more]
NCT00459498,[18-65]
NCT00459498,[65 and more]
NCT00463021,[18-65]
NCT00463021,[65 and more]
NCT00469599,[18-65]
NCT00469599,[65 and more]
NCT00470496,[18-65]
NCT00470496,[65 and more]
NCT00480428,[65 and more]
NCT00498238,[18-65]
NCT00498238,[65 and more]
NCT00505011,[0-17]
NCT00505011,[18-65]
NCT00505011,[65 and more]
NCT00507897,[0-17]
NCT00507897,[18-65]
NCT00507897,[65 and more]
NCT00509483,[18-65]
NCT00509483,[65 and more]
NCT00519896,[18-65]
NCT00519896,[65 and more]
NCT00522028,[18-65]
NCT00522028,[65 and more]
NCT00525135,[18-65]
NCT00525135,[65 and more]
NCT00527085,[18-65]
NCT00527085,[65 and more]
NCT00528502,[0-17]
NCT00528502,[18-65]
NCT00528502,[65 and more]
NCT00528788,[18-65]
NCT00528788,[65 and more]
NCT00531713,[18-65]
NCT00531713,[65 and more]
NCT00535561,[18-65]
NCT00535561,[65 and more]
NCT00537797,[18-65]
NCT00537797,[65 and more]
NCT00537979,[18-65]
NCT00537979,[65 and more]
NCT00552253,[18-65]
NCT00552253,[65 and more]
NCT00556530,[0-17]
NCT00556530,[18-65]
NCT00556530,[65 and more]
NCT00559949,[18-65]
NCT00559949,[65 and more]
NCT00560300,[0-17]
NCT00560300,[18-65]
NCT00571077,[18-65]
NCT00571077,[65 and more]
NCT00571090,[0-17]
NCT00571090,[18-65]
NCT00571090,[65 and more]
NCT00576407,[0-17]
NCT00576407,[18-65]
NCT00576407,[65 and more]
NCT00576836,[0-17]
NCT00576836,[18-65]
NCT00576836,[65 and more]
NCT00579527,[0-17]
NCT00579527,[18-65]
NCT00579527,[65 and more]
NCT00579709,[0-17]
NCT00579709,[18-65]
NCT00579709,[65 and more]
NCT00580320,[18-65]
NCT00580320,[65 and more]
NCT00587158,[18-65]
NCT00587158,[65 and more]
NCT00588432,[18-65]
NCT00588432,[65 and more]
NCT00595335,[18-65]
NCT00595335,[65 and more]
NCT00601328,[18-65]
NCT00639405,[18-65]
NCT00639405,[65 and more]
NCT00646282,[18-65]
NCT00646282,[65 and more]
NCT00651625,[18-65]
NCT00651625,[65 and more]
NCT00654238,[18-65]
NCT00654238,[65 and more]
NCT00664430,[18-65]
NCT00664430,[65 and more]
NCT00665795,[18-65]
NCT00665795,[65 and more]
NCT00667576,[18-65]
NCT00667576,[65 and more]
NCT00674154,[18-65]
NCT00674154,[65 and more]
NCT00677469,[18-65]
NCT00697528,[18-65]
NCT00697528,[65 and more]
NCT00701805,[18-65]
NCT00701805,[65 and more]
NCT00729157,[18-65]
NCT00729157,[65 and more]
NCT00742716,[18-65]
NCT00742716,[65 and more]
NCT00752401,[18-65]
NCT00752401,[65 and more]
NCT00754442,[18-65]
NCT00768820,[0-17]
NCT00768820,[18-65]
NCT00768820,[65 and more]
NCT00781417,[18-65]
NCT00781417,[65 and more]
NCT00782366,[18-65]
NCT00782366,[65 and more]
NCT00784173,[0-17]
NCT00784173,[18-65]
NCT00784173,[65 and more]
NCT00792857,[18-65]
NCT00792857,[65 and more]
NCT00796913,[18-65]
NCT00796913,[65 and more]
NCT00803712,[18-65]
NCT00803712,[65 and more]
NCT00804830,[0-17]
NCT00804830,[18-65]
NCT00804830,[65 and more]
NCT00822289,[18-65]
NCT00822289,[65 and more]
NCT00823303,[18-65]
NCT00823303,[65 and more]
NCT00828347,[18-65]
NCT00828347,[65 and more]
NCT00849888,[0-17]
NCT00858104,[18-65]
NCT00858104,[65 and more]
NCT00859612,[18-65]
NCT00859612,[65 and more]
NCT00877630,[0-17]
NCT00877630,[18-65]
NCT00877630,[65 and more]
NCT00877981,[0-17]
NCT00877981,[18-65]
NCT00877981,[65 and more]
NCT00887107,[18-65]
NCT00887107,[65 and more]
NCT00888069,[18-65]
NCT00888069,[65 and more]
NCT00891813,[18-65]
NCT00891813,[65 and more]
NCT00902122,[18-65]
NCT00902122,[65 and more]
NCT00916955,[0-17]
NCT00916955,[18-65]
NCT00916955,[65 and more]
NCT00917189,[0-17]
NCT00917241,[18-65]
NCT00917241,[65 and more]
NCT00921050,[18-65]
NCT00921050,[65 and more]
NCT00928408,[18-65]
NCT00928408,[65 and more]
NCT00936650,[18-65]
NCT00936650,[65 and more]
NCT00936988,[18-65]
NCT00936988,[65 and more]
NCT00946296,[18-65]
NCT00946296,[65 and more]
NCT00958113,[0-17]
NCT00958113,[18-65]
NCT00958113,[65 and more]
NCT00958451,[18-65]
NCT00958451,[65 and more]
NCT00961701,[18-65]
NCT00961701,[65 and more]
NCT00962221,[18-65]
NCT00962221,[65 and more]
NCT00973336,[18-65]
NCT00973336,[65 and more]
NCT00975221,[18-65]
NCT00975221,[65 and more]
NCT00977080,[18-65]
NCT00977080,[65 and more]
NCT00982722,[0-17]
NCT00982722,[18-65]
NCT00982722,[65 and more]
NCT00990704,[18-65]
NCT00990704,[65 and more]
NCT00995163,[0-17]
NCT00995163,[18-65]
NCT00995163,[65 and more]
NCT00999037,[0-17]
NCT00999037,[18-65]
NCT01012414,[18-65]
NCT01012414,[65 and more]
NCT01025128,[18-65]
NCT01025128,[65 and more]
NCT01039818,[18-65]
NCT01039818,[65 and more]
NCT01056419,[18-65]
NCT01056419,[65 and more]
NCT01057732,[18-65]
NCT01057732,[65 and more]
NCT01060982,[18-65]
NCT01060982,[65 and more]
NCT01073462,[18-65]
NCT01073462,[65 and more]
NCT01081665,[18-65]
NCT01081665,[65 and more]
NCT01083186,[18-65]
NCT01083186,[65 and more]
NCT01083550,[18-65]
NCT01083550,[65 and more]
NCT01083849,[18-65]
NCT01083849,[65 and more]
NCT01084356,[18-65]
NCT01084356,[65 and more]
NCT01087619,[65 and more]
NCT01089335,[18-65]
NCT01089335,[65 and more]
NCT01100723,[18-65]
NCT01100723,[65 and more]
NCT01101113,[18-65]
NCT01101113,[65 and more]
NCT01102127,[18-65]
NCT01102127,[65 and more]
NCT01103206,[18-65]
NCT01103206,[65 and more]
NCT01103557,[18-65]
NCT01103557,[65 and more]
NCT01106443,[18-65]
NCT01106443,[65 and more]
NCT01109420,[0-17]
NCT01109420,[18-65]
NCT01109420,[65 and more]
NCT01114503,[18-65]
NCT01114503,[65 and more]
NCT01115543,[18-65]
NCT01115543,[65 and more]
NCT01118065,[18-65]
NCT01118065,[65 and more]
NCT01127503,[0-17]
NCT01127503,[18-65]
NCT01127503,[65 and more]
NCT01134315,[0-17]
NCT01134549,[18-65]
NCT01134562,[18-65]
NCT01134562,[65 and more]
NCT01137097,[18-65]
NCT01137097,[65 and more]
NCT01138475,[18-65]
NCT01138475,[65 and more]
NCT01149291,[18-65]
NCT01149291,[65 and more]
NCT01153360,[18-65]
NCT01153360,[65 and more]
NCT01163565,[18-65]
NCT01163565,[65 and more]
NCT01164176,[18-65]
NCT01164176,[65 and more]
NCT01167309,[18-65]
NCT01167309,[65 and more]
NCT01171690,[18-65]
NCT01171690,[65 and more]
NCT01178450,[18-65]
NCT01178450,[65 and more]
NCT01181531,[18-65]
NCT01181531,[65 and more]
NCT01182285,[18-65]
NCT01182285,[65 and more]
NCT01182584,[0-17]
NCT01182584,[18-65]
NCT01208051,[18-65]
NCT01208051,[65 and more]
NCT01219855,[18-65]
NCT01219855,[65 and more]
NCT01220050,[18-65]
NCT01220050,[65 and more]
NCT01222026,[18-65]
NCT01222026,[65 and more]
NCT01224782,[18-65]
NCT01224782,[65 and more]
NCT01225016,[18-65]
NCT01225016,[65 and more]
NCT01226914,[18-65]
NCT01226914,[65 and more]
NCT01227499,[0-17]
NCT01227499,[18-65]
NCT01227499,[65 and more]
NCT01228786,[0-17]
NCT01228786,[18-65]
NCT01228786,[65 and more]
NCT01229865,[18-65]
NCT01229865,[65 and more]
NCT01254565,[18-65]
NCT01254565,[65 and more]
NCT01265992,[18-65]
NCT01265992,[65 and more]
NCT01269749,[0-17]
NCT01269749,[18-65]
NCT01270425,[18-65]
NCT01270425,[65 and more]
NCT01272414,[18-65]
NCT01272414,[65 and more]
NCT01273597,[18-65]
NCT01273597,[65 and more]
NCT01280214,[18-65]
NCT01280214,[65 and more]
NCT01286753,[18-65]
NCT01286753,[65 and more]
NCT01290029,[0-17]
NCT01291498,[18-65]
NCT01291498,[65 and more]
NCT01295333,[18-65]
NCT01295333,[65 and more]
NCT01297699,[18-65]
NCT01297699,[65 and more]
NCT01306656,[18-65]
NCT01306656,[65 and more]
NCT01306916,[18-65]
NCT01306916,[65 and more]
NCT01307761,[18-65]
NCT01307761,[65 and more]
NCT01308320,[18-65]
NCT01320813,[18-65]
NCT01320813,[65 and more]
NCT01322165,[0-17]
NCT01322165,[18-65]
NCT01322165,[65 and more]
NCT01329666,[18-65]
NCT01329666,[65 and more]
NCT01335802,[18-65]
NCT01335828,[18-65]
NCT01335828,[65 and more]
NCT01341782,[18-65]
NCT01341782,[65 and more]
NCT01341886,[0-17]
NCT01341886,[18-65]
NCT01341886,[65 and more]
NCT01368042,[18-65]
NCT01368042,[65 and more]
NCT01369953,[18-65]
NCT01369953,[65 and more]
NCT01379196,[18-65]
NCT01379196,[65 and more]
NCT01382212,[0-17]
NCT01382966,[18-65]
NCT01382966,[65 and more]
NCT01384786,[18-65]
NCT01384786,[65 and more]
NCT01395134,[18-65]
NCT01395134,[65 and more]
NCT01396733,[18-65]
NCT01396733,[65 and more]
NCT01398774,[0-17]
NCT01398774,[18-65]
NCT01401478,[18-65]
NCT01401478,[65 and more]
NCT01408368,[18-65]
NCT01408368,[65 and more]
NCT01409798,[18-65]
NCT01409798,[65 and more]
NCT01413113,[18-65]
NCT01413113,[65 and more]
NCT01414114,[18-65]
NCT01414114,[65 and more]
NCT01421407,[18-65]
NCT01421407,[65 and more]
NCT01426724,[18-65]
NCT01426724,[65 and more]
NCT01428167,[18-65]
NCT01428167,[65 and more]
NCT01436994,[0-17]
NCT01439867,[0-17]
NCT01441154,[18-65]
NCT01441154,[65 and more]
NCT01447368,[18-65]
NCT01447368,[65 and more]
NCT01453634,[18-65]
NCT01453634,[65 and more]
NCT01458600,[18-65]
NCT01458600,[65 and more]
NCT01460030,[18-65]
NCT01460030,[65 and more]
NCT01465867,[18-65]
NCT01471288,[18-65]
NCT01471288,[65 and more]
NCT01479088,[0-17]
NCT01479088,[18-65]
NCT01484379,[65 and more]
NCT01486667,[18-65]
NCT01486667,[65 and more]
NCT01506947,[18-65]
NCT01506947,[65 and more]
NCT01528904,[18-65]
NCT01530919,[0-17]
NCT01530919,[18-65]
NCT01530919,[65 and more]
NCT01534169,[18-65]
NCT01539486,[18-65]
NCT01539486,[65 and more]
NCT01539499,[18-65]
NCT01539499,[65 and more]
NCT01545622,[18-65]
NCT01545622,[65 and more]
NCT01558115,[18-65]
NCT01558115,[65 and more]
NCT01560299,[18-65]
NCT01560299,[65 and more]
NCT01571843,[18-65]
NCT01571843,[65 and more]
NCT01574287,[18-65]
NCT01574287,[65 and more]
NCT01574859,[0-17]
NCT01574859,[18-65]
NCT01574859,[65 and more]
NCT01576146,[18-65]
NCT01576146,[65 and more]
NCT01579344,[18-65]
NCT01579344,[65 and more]
NCT01579539,[18-65]
NCT01579539,[65 and more]
NCT01598727,[18-65]
NCT01598727,[65 and more]
NCT01599273,[18-65]
NCT01599273,[65 and more]
NCT01609946,[18-65]
NCT01609946,[65 and more]
NCT01611896,[18-65]
NCT01611896,[65 and more]
NCT01616108,[0-17]
NCT01616108,[18-65]
NCT01616108,[65 and more]
NCT01617694,[18-65]
NCT01633853,[18-65]
NCT01633853,[65 and more]
NCT01638533,[18-65]
NCT01638533,[65 and more]
NCT01647503,[0-17]
NCT01647503,[18-65]
NCT01647503,[65 and more]
NCT01648569,[0-17]
NCT01648569,[18-65]
NCT01649206,[18-65]
NCT01649206,[65 and more]
NCT01651000,[18-65]
NCT01651000,[65 and more]
NCT01653379,[18-65]
NCT01653379,[65 and more]
NCT01655719,[18-65]
NCT01655719,[65 and more]
NCT01660126,[65 and more]
NCT01661179,[18-65]
NCT01661179,[65 and more]
NCT01665651,[18-65]
NCT01675089,[18-65]
NCT01675089,[65 and more]
NCT01690806,[0-17]
NCT01690806,[18-65]
NCT01690806,[65 and more]
NCT01704079,[18-65]
NCT01704079,[65 and more]
NCT01704586,[18-65]
NCT01704586,[65 and more]
NCT01725113,[18-65]
NCT01725113,[65 and more]
NCT01727973,[18-65]
NCT01738243,[18-65]
NCT01738243,[65 and more]
NCT01739972,[18-65]
NCT01739972,[65 and more]
NCT01741064,[18-65]
NCT01741064,[65 and more]
NCT01744769,[18-65]
NCT01744769,[65 and more]
NCT01750593,[18-65]
NCT01750593,[65 and more]
NCT01756534,[18-65]
NCT01756534,[65 and more]
NCT01757834,[18-65]
NCT01757834,[65 and more]
NCT01760421,[18-65]
NCT01776502,[0-17]
NCT01776502,[18-65]
NCT01778400,[18-65]
NCT01778400,[65 and more]
NCT01779817,[0-17]
NCT01781923,[0-17]
NCT01783002,[18-65]
NCT01783002,[65 and more]
NCT01785849,[18-65]
NCT01785849,[65 and more]
NCT01785875,[18-65]
NCT01785875,[65 and more]
NCT01788046,[18-65]
NCT01788046,[65 and more]
NCT01788982,[18-65]
NCT01788982,[65 and more]
NCT01789541,[18-65]
NCT01789541,[65 and more]
NCT01794676,[0-17]
NCT01794676,[18-65]
NCT01794676,[65 and more]
NCT01798966,[18-65]
NCT01798966,[65 and more]
NCT01805856,[0-17]
NCT01805856,[18-65]
NCT01805856,[65 and more]
NCT01809444,[18-65]
NCT01811212,[18-65]
NCT01811212,[65 and more]
NCT01821781,[0-17]
NCT01821781,[18-65]
NCT01830504,[18-65]
NCT01830504,[65 and more]
NCT01832753,[0-17]
NCT01832753,[18-65]
NCT01837433,[18-65]
NCT01837433,[65 and more]
NCT01837745,[18-65]
NCT01837745,[65 and more]
NCT01838031,[18-65]
NCT01838629,[0-17]
NCT01838629,[18-65]
NCT01838629,[65 and more]
NCT01853579,[65 and more]
NCT01856920,[18-65]
NCT01856920,[65 and more]
NCT01868750,[18-65]
NCT01868750,[65 and more]
NCT01868997,[18-65]
NCT01868997,[65 and more]
NCT01880203,[18-65]
NCT01880203,[65 and more]
NCT01884649,[18-65]
NCT01884649,[65 and more]
NCT01885533,[18-65]
NCT01885533,[65 and more]
NCT01889134,[18-65]
NCT01889134,[65 and more]
NCT01893450,[18-65]
NCT01896232,[18-65]
NCT01896232,[65 and more]
NCT01922843,[18-65]
NCT01922843,[65 and more]
NCT01927406,[18-65]
NCT01927406,[65 and more]
NCT01927887,[18-65]
NCT01927887,[65 and more]
NCT01932970,[18-65]
NCT01932970,[65 and more]
NCT01939977,[18-65]
NCT01939977,[65 and more]
NCT01945762,[18-65]
NCT01945762,[65 and more]
NCT01950260,[18-65]
NCT01950260,[65 and more]
NCT01969019,[18-65]
NCT01969019,[65 and more]
NCT01985204,[18-65]
NCT01996072,[18-65]
NCT01996072,[65 and more]
NCT01999790,[18-65]
NCT01999790,[65 and more]
NCT02017080,[18-65]
NCT02024906,[18-65]
NCT02024906,[65 and more]
NCT02041260,[18-65]
NCT02041260,[65 and more]
NCT02054572,[18-65]
NCT02054572,[65 and more]
NCT02055989,[18-65]
NCT02055989,[65 and more]
NCT02056730,[18-65]
NCT02056730,[65 and more]
NCT02059655,[18-65]
NCT02059655,[65 and more]
NCT02061111,[18-65]
NCT02070211,[0-17]
NCT02070211,[18-65]
NCT02089542,[18-65]
NCT02089542,[65 and more]
NCT02090907,[18-65]
NCT02090907,[65 and more]
NCT02102204,[18-65]
NCT02102204,[65 and more]
NCT02107794,[18-65]
NCT02107794,[65 and more]
NCT02109250,[18-65]
NCT02109250,[65 and more]
NCT02112370,[18-65]
NCT02112370,[65 and more]
NCT02112643,[18-65]
NCT02112643,[65 and more]
NCT02114619,[18-65]
NCT02114619,[65 and more]
NCT02126683,[18-65]
NCT02133404,[18-65]
NCT02133404,[65 and more]
NCT02138214,[18-65]
NCT02138214,[65 and more]
NCT02138838,[0-17]
NCT02140476,[18-65]
NCT02140476,[65 and more]
NCT02143271,[18-65]
NCT02143271,[65 and more]
NCT02143726,[18-65]
NCT02143726,[65 and more]
NCT02147782,[18-65]
NCT02150772,[18-65]
NCT02150772,[65 and more]
NCT02152995,[18-65]
NCT02152995,[65 and more]
NCT02155049,[18-65]
NCT02155049,[65 and more]
NCT02169687,[18-65]
NCT02169687,[65 and more]
NCT02186405,[18-65]
NCT02186405,[65 and more]
NCT02190214,[18-65]
NCT02190214,[65 and more]
NCT02194920,[0-17]
NCT02194920,[18-65]
NCT02194920,[65 and more]
NCT02203682,[18-65]
NCT02203682,[65 and more]
NCT02205801,[18-65]
NCT02205801,[65 and more]
NCT02210741,[18-65]
NCT02210741,[65 and more]
NCT02216656,[18-65]
NCT02216656,[65 and more]
NCT02227264,[18-65]
NCT02227264,[65 and more]
NCT02246504,[18-65]
NCT02246504,[65 and more]
NCT02258347,[18-65]
NCT02258347,[65 and more]
NCT02268734,[18-65]
NCT02268734,[65 and more]
NCT02273570,[18-65]
NCT02273570,[65 and more]
NCT02274623,[18-65]
NCT02274623,[65 and more]
NCT02282813,[18-65]
NCT02282813,[65 and more]
NCT02289144,[18-65]
NCT02289144,[65 and more]
NCT02290704,[18-65]
NCT02290704,[65 and more]
NCT02316691,[18-65]
NCT02316691,[65 and more]
NCT02316743,[18-65]
NCT02316743,[65 and more]
NCT02319538,[18-65]
NCT02319538,[65 and more]
NCT02332135,[18-65]
NCT02332135,[65 and more]
NCT02338934,[18-65]
NCT02338934,[65 and more]
NCT02339142,[18-65]
NCT02339142,[65 and more]
NCT02341417,[0-17]
NCT02341417,[18-65]
NCT02352766,[18-65]
NCT02352766,[65 and more]
NCT02373995,[18-65]
NCT02373995,[65 and more]
